,latitude,longitude,state,county,reg_mult,feedstock region
40606,45.224,-103.872,SouthDakota,Harding,1.0294393,West North Central
40607,39.234,-118.946,Nevada,Lyon,1.1254003,Mountain
40608,41.994,-111.212,Utah,Rich,1.0570394,Mountain
40609,33.084,-94.5,Texas,Cass,0.9697085,West South Central
40610,29.297,-97.899,Texas,Wilson,0.9525324,West South Central
40611,33.618,-104.156,NewMexico,Chaves,1.0278924,Mountain
40612,38.373,-93.123,Missouri,Benton,1.0209577,West North Central
40613,44.382,-111.978,Idaho,Clark,1.0591478,Mountain
40614,43.684,-85.402,Michigan,Mecosta,1.0037811,East North Central
40615,30.104,-83.072,Florida,Suwannee,0.9564502,South Atlantic
40616,48.45,-97.224,NorthDakota,Walsh,1.0481703,West North Central
40617,41.842,-115.677,Nevada,Elko,1.0668819,Mountain
40618,46.81,-101.037,NorthDakota,Morton,1.0431477,West North Central
40619,42.768,-84.957,Michigan,Eaton,1.001771,East North Central
40620,44.975,-73.811,NewYork,Clinton,1.0576464,Middle Atlantic
40621,32.023,-84.15,Georgia,Sumter,0.9521847,South Atlantic
40622,30.557,-92.422,Louisiana,Evangeline,0.9495655,West South Central
40623,45.675,-123.643,Oregon,Tillamook,1.0862978,Pacific
40624,41.318,-93.867,Iowa,Madison,1.045744,West North Central
40625,44.394,-85.74,Michigan,Wexford,1.011888,East North Central
40626,48.119,-114.884,Montana,Flathead,1.0645927,Mountain
40627,38.578,-106.599,Colorado,Gunnison,1.0319265,Mountain
40628,31.47,-103.537,Texas,Reeves,1.008821,West South Central
40629,40.797,-119.22,Nevada,Pershing,1.1131252,Mountain
40630,40.404,-109.374,Utah,Uintah,1.0499072,Mountain
40631,36.777,-86.348,Kentucky,Allen,0.96274686,East South Central
40632,35.913,-80.484,NorthCarolina,Davie,0.9528781,South Atlantic
40633,43.4,-112.794,Idaho,Bingham,1.0567195,Mountain
40634,44.739,-97.457,SouthDakota,Hamlin,1.05268,West North Central
40635,39.677,-77.983,Maryland,Washington,1.0460392,South Atlantic
40636,41.232,-103.521,Nebraska,Kimball,1.0323997,West North Central
40637,39.098,-103.134,Colorado,Kit Carson,1.0303454,Mountain
40638,42.179,-108.26,Wyoming,Sweetwater,1.0417086,Mountain
40639,47.397,-105.311,Montana,Dawson,1.0453963,Mountain
40640,33.559,-110.321,Arizona,Gila,1.000877,Mountain
40641,46.348,-123.308,Washington,Wahkiakum,1.0756385,Pacific
40642,32.101,-95.543,Texas,Henderson,0.9603119,West South Central
40643,39.971,-112.474,Utah,Tooele,1.0590385,Mountain
40644,45.935,-112.246,Montana,Jefferson,1.069868,Mountain
40645,45.868,-122.586,Washington,Clark,1.0889254,Pacific
40646,30.112,-95.928,Texas,Harris,0.94001335,West South Central
40647,28.913,-81.539,Florida,Lake,0.96192133,South Atlantic
40648,33.371,-90.59,Mississippi,Sunflower,0.9646021,East South Central
40649,42.557,-123.456,Oregon,Josephine,1.106694,Pacific
40650,30.098,-97.794,Texas,Travis,0.95309055,West South Central
40651,28.651,-99.716,Texas,Zavala,0.96557885,West South Central
40652,38.784,-83.219,Ohio,Scioto,0.9769482,East North Central
40653,32.013,-100.651,Texas,Coke,0.9897236,West South Central
40654,37.198,-103.759,Colorado,Las Animas,1.0332046,Mountain
40655,41.751,-100.483,Nebraska,Thomas,1.0315042,West North Central
40656,43.544,-99.098,SouthDakota,Brule,1.0406297,West North Central
40657,45.565,-117.584,Oregon,Wallowa,1.0635644,Pacific
40658,44.764,-68.927,Maine,Penobscot,1.0778822,New England
40659,47.919,-102.773,NorthDakota,McKenzie,1.0438851,West North Central
40660,43.871,-114.633,Idaho,Blaine,1.058525,Mountain
40661,38.678,-113.29,Utah,Millard,1.071776,Mountain
40662,38.946,-92.533,Missouri,Cooper,1.0274442,West North Central
40663,31.71,-83.047,Georgia,Ben Hill,0.9525401,South Atlantic
40664,42.773,-93.367,Iowa,Franklin,1.045779,West North Central
40665,47.419,-100.28,NorthDakota,Sheridan,1.0435182,West North Central
40666,31.275,-87.067,Alabama,Conecuh,0.9535662,East South Central
40667,41.313,-72.261,Connecticut,New London,1.0827248,New England
40668,44.895,-83.31,Michigan,Alpena,1.0145918,East North Central
40669,46.753,-111.018,Montana,Meagher,1.0788186,Mountain
40670,34.733,-92.874,Arkansas,Saline,0.9715172,West South Central
40671,41.996,-123.203,California,Siskiyou,1.112913,Pacific
40672,38.801,-90.991,Missouri,Warren,1.028889,West North Central
40673,41.448,-104.871,Wyoming,Laramie,1.0333782,Mountain
40674,35.579,-91.493,Arkansas,Independence,0.97601783,West South Central
40675,39.142,-122.72,California,Lake,1.1400814,Pacific
40676,43.349,-99.088,SouthDakota,Charles Mix,1.0405241,West North Central
40677,43.629,-75.556,NewYork,Lewis,1.0270876,Middle Atlantic
40678,42.699,-78.311,NewYork,Wyoming,1.0348884,Middle Atlantic
40679,31.844,-85.462,Alabama,Barbour,0.9523857,East South Central
40680,32.508,-91.297,Louisiana,Madison,0.9636544,West South Central
40681,41.133,-115.752,Nevada,Elko,1.0818181,Mountain
40682,32.551,-90.007,Mississippi,Madison,0.966264,East South Central
40683,38.038,-91.606,Missouri,Phelps,1.0200106,West North Central
40684,32.016,-89.283,Mississippi,Jasper,0.9615547,East South Central
40685,41.479,-80.593,Ohio,Trumbull,1.0174918,East North Central
40686,38.957,-99.022,Kansas,Russell,1.028843,West North Central
40687,36.858,-119.817,California,Madera,1.1374676,Pacific
40688,33.868,-87.138,Alabama,Walker,0.9514005,East South Central
40689,32.113,-104.373,NewMexico,Eddy,1.0197862,Mountain
40690,31.326,-81.452,Georgia,Glynn,0.9520324,South Atlantic
40691,41.432,-72.971,Connecticut,New Haven,1.0932006,New England
40692,38.811,-100.705,Kansas,Gove,1.0308797,West North Central
40693,37.378,-120.29,California,Merced,1.1435485,Pacific
40694,40.52,-104.017,Colorado,Morgan,1.0315135,Mountain
40695,31.921,-112.196,Arizona,Pima,1.0030944,Mountain
40696,33.296,-109.087,Arizona,Greenlee,1.0232921,Mountain
40697,44.116,-89.477,Wisconsin,Waushara,1.0195113,East North Central
40698,34.131,-92.506,Arkansas,Dallas,0.97123164,West South Central
40699,34.641,-88.369,Mississippi,Prentiss,0.95812327,East South Central
40700,47.658,-115.393,Montana,Sanders,1.0623367,Mountain
40701,32.192,-87.341,Alabama,Wilcox,0.9528468,East South Central
40702,31.612,-111.484,Arizona,Pima,1.009928,Mountain
40703,48.624,-117.936,Washington,Stevens,1.0598415,Pacific
40704,44.039,-102.031,SouthDakota,Pennington,1.0248467,West North Central
40705,42.457,-102.475,Nebraska,Sheridan,1.0284317,West North Central
40706,38.449,-119.967,California,Alpine,1.1327286,Pacific
40707,45.671,-89.304,Wisconsin,Oneida,1.0200094,East North Central
40708,35.294,-78.044,NorthCarolina,Wayne,0.98743236,South Atlantic
40709,33.017,-106.819,NewMexico,Sierra,1.0353625,Mountain
40710,45.526,-95.909,Minnesota,Stevens,1.0637333,West North Central
40711,41.428,-96.941,Nebraska,Butler,1.0471131,West North Central
40712,43.897,-116.667,Idaho,Gem,1.0539486,Mountain
40713,46.639,-102.943,NorthDakota,Stark,1.0408902,West North Central
40714,33.486,-96.706,Texas,Grayson,0.98270583,West South Central
40715,41.09,-108.342,Wyoming,Sweetwater,1.0430677,Mountain
40716,36.681,-99.876,Oklahoma,Harper,1.0276403,West South Central
40717,39.644,-98.911,Kansas,Smith,1.0327548,West North Central
40718,42.297,-97.846,Nebraska,Antelope,1.0441384,West North Central
40719,37.821,-106.199,Colorado,Saguache,1.0328938,Mountain
40720,37.185,-92.624,Missouri,Wright,1.0116296,West North Central
40721,39.126,-91.958,Missouri,Audrain,1.0325599,West North Central
40722,42.58,-101.889,Nebraska,Cherry,1.0300782,West North Central
40723,38.981,-109.794,Utah,Grand,1.044323,Mountain
40724,46.755,-68.133,Maine,Aroostook,1.0780813,New England
40725,45.221,-97.937,SouthDakota,Day,1.0499022,West North Central
40726,32.352,-92.591,Louisiana,Jackson,0.9644047,West South Central
40727,43.084,-101.485,SouthDakota,Bennett,1.0296357,West North Central
40728,33.196,-82.91,Georgia,Hancock,0.94717306,South Atlantic
40729,47.442,-118.473,Washington,Lincoln,1.059444,Pacific
40730,39.28,-80.398,WestVirginia,Harrison,1.0123018,South Atlantic
40731,35.169,-80.11,NorthCarolina,Anson,0.94865614,South Atlantic
40732,33.842,-112.102,Arizona,Maricopa,0.9731071,Mountain
40733,38.428,-109.396,Utah,San Juan,1.0406642,Mountain
40734,48.259,-95.741,Minnesota,Marshall,1.057817,West North Central
40735,45.928,-103.492,SouthDakota,Harding,1.0362546,West North Central
40736,43.99,-91.327,Wisconsin,Trempealeau,1.0578966,East North Central
40737,44.604,-119.295,Oregon,Grant,1.0702925,Pacific
40738,38.755,-89.868,Illinois,Madison,1.0290852,East North Central
40739,37.815,-103.275,Colorado,Bent,1.0318937,Mountain
40740,36.039,-84.549,Tennessee,Morgan,0.9493008,East South Central
40741,36.885,-86.47,Kentucky,Warren,0.9669681,East South Central
40742,37.159,-102.653,Colorado,Baca,1.0326416,Mountain
40743,42.831,-119.693,Oregon,Harney,1.0877743,Pacific
40744,39.847,-118.284,Nevada,Churchill,1.1175394,Mountain
40745,31.889,-106.012,Texas,El Paso,1.024496,West South Central
40746,36.677,-100.012,Oklahoma,Beaver,1.0272617,West South Central
40747,33.518,-85.216,Georgia,Carroll,0.9494386,South Atlantic
40748,36.048,-95.246,Oklahoma,Wagoner,1.007732,West South Central
40749,37.106,-110.658,Utah,San Juan,1.049799,Mountain
40750,36.5,-106.686,NewMexico,Rio Arriba,1.036789,Mountain
40751,40.266,-88.714,Illinois,De Witt,1.0420086,East North Central
40752,33.058,-93.076,Arkansas,Columbia,0.9686662,West South Central
40753,45.989,-122.478,Washington,Cowlitz,1.0865115,Pacific
40754,39.104,-88.985,Illinois,Fayette,1.025776,East North Central
40755,45.44,-90.898,Wisconsin,Rusk,1.0579826,East North Central
40756,39.231,-80.84,WestVirginia,Doddridge,1.0044899,South Atlantic
40757,32.928,-102.393,Texas,Gaines,1.0114002,West South Central
40758,46.138,-103.201,NorthDakota,Bowman,1.0382571,West North Central
40759,42.599,-96.81,Nebraska,Dixon,1.0479625,West North Central
40760,45.503,-105.798,Montana,Powder River,1.0377382,Mountain
40761,38.877,-98.032,Kansas,Lincoln,1.0292922,West North Central
40762,43.284,-95.762,Iowa,Osceola,1.0516524,West North Central
40763,41.412,-116.59,Nevada,Elko,1.0807695,Mountain
40764,41.748,-104.766,Wyoming,Platte,1.0329897,Mountain
40765,41.658,-102.835,Nebraska,Morrill,1.030877,West North Central
40766,43.418,-75.473,NewYork,Oneida,1.021244,Middle Atlantic
40767,36.332,-88.59,Tennessee,Weakley,0.9744157,East South Central
40768,33.238,-80.671,SouthCarolina,Dorchester,0.9469578,South Atlantic
40769,35.271,-78.594,NorthCarolina,Harnett,0.9731476,South Atlantic
40770,41.524,-117.832,Nevada,Humboldt,1.088874,Mountain
40771,42.929,-113.427,Idaho,Minidoka,1.0596982,Mountain
40772,26.994,-81.648,Florida,Charlotte,0.964018,South Atlantic
40773,37.506,-81.372,WestVirginia,Wyoming,0.9827802,South Atlantic
40774,33.035,-103.96,NewMexico,Chaves,1.024685,Mountain
40775,41.078,-107.311,Wyoming,Carbon,1.0362651,Mountain
40776,42.044,-108.681,Wyoming,Sweetwater,1.0438031,Mountain
40777,40.204,-84.82,Indiana,Randolph,0.9912127,East North Central
40778,45.538,-101.086,SouthDakota,Corson,1.0399833,West North Central
40779,48.826,-115.635,Montana,Lincoln,1.0623673,Mountain
40780,32.472,-80.963,SouthCarolina,Jasper,0.9477671,South Atlantic
40781,39.09,-111.534,Utah,Sanpete,1.0556836,Mountain
40782,39.996,-89.176,Illinois,Logan,1.0375807,East North Central
40783,42.282,-102.01,Nebraska,Cherry,1.0308052,West North Central
40784,45.989,-98.753,NorthDakota,Dickey,1.0454812,West North Central
40785,29.259,-103.69,Texas,Brewster,0.99874187,West South Central
40786,35.185,-89.247,Tennessee,Fayette,0.9680058,East South Central
40787,32.672,-116.565,California,San Diego,1.1125646,Pacific
40788,41.327,-110.014,Wyoming,Sweetwater,1.053856,Mountain
